#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
245,Karad,124,GEN,Bombay,Chavan Dajisaheb Ramrao,Peasants & Workers Party,348850,238652,68.4 %
246,Karimnagar,31,GEN,Andhra Pradesh,M.R. Krishna,Indian National Congress,748201,732963,49.0 %
247,Karimnagar,31,GEN,Andhra Pradesh,M. Sri Ranga Rao,Indian National Congress,748201,732963,49.0 %
248,Karur,209,GEN,Madras,K. Periasami Gounder,Indian National Congress,427431,207071,48.5 %
249,Kasergod,164,GEN,Kerala,Gopalan Ayillath Kuttieri,Communist Party Of India,449300,252533,56.2 %
250,Katihar,64,GEN,Bihar [1947 - 1999],Awadhesh Kumar Singh,Indian National Congress,376760,150894,40.1 %
251,Kendrapara,257,GEN,Orissa,Surendranath Dwivedy,Praja Socialist Party,853833,759146,44.5 %
252,Kendrapara,257,GEN,Orissa,Baishanab Charan Malik,Praja Socialist Party,853833,759146,44.5 %
253,Keonjhar,254,GEN,Orissa,Bhanj Deo Laxmi Narayan,Independent,346575,93392,27.0 %
254,Kesaria,52,GEN,Bihar [1947 - 1999],Dwarkanath Tiwari,Indian National Congress,339047,131716,38.9 %
255,Khagaria,70,GEN,Bihar [1947 - 1999],Jiya Lal Mandal,Indian National Congress,363573,205000,56.4 %
256,Khajuraho,191,GEN,Madhya Pradesh [1947 - 1999],Motilal Malviya,Indian National Congress,771940,536011,34.7 %
257,Khajuraho,191,GEN,Madhya Pradesh [1947 - 1999],Ram Sahai,Indian National Congress,771940,536011,34.7 %
258,Khammam,34,GEN,Andhra Pradesh,Vittal Rao,Peoples Democratic Front,376471,240837,64.0 %
259,Khed,119,GEN,Bombay,Salunke Balasaheb Dagaduji,All India Scheduled Caste Federation,363368,169007,46.5 %
260,Kheri,365,GEN,Uttar Pradesh [1947 - 1999],Khushwaqt Rai Alias Bhaiyalal,Praja Socialist Party,405123,154396,38.1 %
261,Kishanganj,62,GEN,Bihar [1947 - 1999],Md. Tahir,Indian National Congress,388648,143835,37.0 %
262,Kolaba,116,GEN,Bombay,Raut Rajaram Balkrishna,Peasants & Workers Party,332039,178591,53.8 %
263,Kolar,243,GEN,Mysore,K. Chengalaraya Reddy,Indian National Congress,748001,393551,52.6 %
264,Kolar,243,GEN,Mysore,Doddathimmiah,Indian National Congress,748001,RU,
265,Kolhapur,122,GEN,Bombay,Dige Shankarrao Khanderao,All India Scheduled Caste Federation,721836,869244,60.2 %
266,Kolhapur,122,GEN,Bombay,Mahagaonkar Bhausaheb Raosaheb,Peasants & Workers Party,721836,869244,60.2 %
267,Kopargaon,128,GEN,Bombay,Kamble Bapu Chandrasen,Independent,327295,143573,43.9 %
268,Koppal,235,GEN,Mysore,Sangappa Andanappa,Indian National Congress,408966,228942,56.0 %
269,Koraput,249,GEN,Orissa,R. Jagannath Rao,Indian National Congress,794638,317456,20.0 %
270,Koraput,249,GEN,Orissa,Toyaka Sanganna,Indian National Congress,794638,317456,20.0 %
271,Kotah,287,GEN,Rajasthan,Nemi Chandra Kasliwal,Indian National Congress,773929,488581,31.6 %
272,Kotah,287,GEN,Rajasthan,"Onkar Lal, S/o Jamna Lal",Indian National Congress,773929,488581,31.6 %
273,Kottayam,154,GEN,Kerala,Mathew Maniyangadan,Indian National Congress,379331,287074,75.7 %
274,Kozhikode,160,GEN,Kerala,Kuttikrishnan Nair,Indian National Congress,452798,268664,59.3 %
275,Krishnagiri,199,GEN,Madras,C. R. Narsimhan,Indian National Congress,446928,144194,32.3 %
276,Kumbakonam,206,GEN,Madras,C. R. Pattabhiraman,Indian National Congress,429889,217286,50.5 %
277,Kurnool,23,GEN,Andhra Pradesh,Osman Ali Khan,Indian National Congress,422547,103268,24.4 %
278,Kutch,91,GEN,Bombay,Bhavanji A. Khimji,Indian National Congress,352326,150285,42.7 %
279,Lohardaga,89,ST,Bihar [1947 - 1999],Ignece Beck,Jharkhand Party,329578,114376,34.7 %
280,Lucknow,362,GEN,Uttar Pradesh [1947 - 1999],Pulin Behari Banerji,Indian National Congress,378020,170579,45.1 %
281,Ludhiana,277,GEN,Punjab,Bahadur Singh,Indian National Congress,807145,933918,57.9 %
282,Ludhiana,277,GEN,Punjab,Ajit Singh,Indian National Congress,807145,933918,57.9 %
283,Madhubani,58,GEN,Bihar [1947 - 1999],Anirudh Singh,Indian National Congress,405430,174371,43.0 %
284,Madhya Saurashtra,93,GEN,Bombay,Shah Manubhai Mansukhlal,Indian National Congress,373121,145045,38.9 %
285,Madras North,192,GEN,Madras,S. C. C. Anthony Pillai,Independent,449968,176835,39.3 %
286,Madras South,193,GEN,Madras,T. T. Krishnamachari,Indian National Congress,472017,177190,37.5 %
287,Madurai,219,GEN,Madras,K. T. K. Thangamani,Communist Party Of India,460493,226674,49.2 %
288,Maharajganj,51,GEN,Bihar [1947 - 1999],Mahendra Nath Singh,Indian National Congress,385849,147420,38.2 %
289,Mahasu,398,GEN,Himachal Pradesh,Yeshwant Singh,Indian National Congress,320908,217844,33.9 %
290,Mahasu,398,GEN,Himachal Pradesh,Nek Ram,Indian National Congress,320908,217844,33.9 %
291,Mahbubabad,33,GEN,Andhra Pradesh,E. Madhusudhan Rao,Indian National Congress,372879,200672,53.8 %
292,Mahbubnagar,24,GEN,Andhra Pradesh,J. Rameshwar Rao,Indian National Congress,769063,646819,42.1 %
293,Mahbubnagar,24,GEN,Andhra Pradesh,Puli Rama Swamy,Indian National Congress,769063,646819,42.1 %
294,Mahendragarh,269,GEN,Punjab,Ram Krishan,Indian National Congress,452591,238833,52.8 %
295,Mahrajganj,347,GEN,Uttar Pradesh [1947 - 1999],Prof. Shibban Lal Saxena,Independent,395546,176183,44.5 %
296,Mainpuri,324,GEN,Uttar Pradesh [1947 - 1999],Bansi Das Dhangar,Praja Socialist Party,393180,196750,50.0 %
297,Malda,369,GEN,West Bengal,Renuka Ray,Indian National Congress,409274,209203,51.1 %
298,Malegaon,130,GEN,Bombay,Jadhav Yadav Narayan,Praja Socialist Party,375529,238079,63.4 %
299,Mandasur,170,GEN,Madhya Pradesh [1947 - 1999],Manaklal,Indian National Congress,362466,156234,43.1 %
300,Mandi,399,GEN,Himachal Pradesh,Joginder Sen,Indian National Congress,180306,90640,50.3 %
301,Mandla,180,ST,Madhya Pradesh [1947 - 1999],Mangrubabu Uike (S.T.),Indian National Congress,366868,RU,
302,Mandvi,109,ST,Bombay,Kedaria Chhaganlal Madaribhai,Indian National Congress,379317,223157,58.8 %
303,Mandya,240,GEN,Mysore,M. K. Shivananjappa,Indian National Congress,387265,231461,59.8 %
304,Mangalore,247,GEN,Mysore,Achar K. R.,Indian National Congress,435650,250185,57.4 %
305,Manjeri,161,GEN,Kerala,Pocker Kuttivatha,Independent,418881,229402,54.8 %
306,Markapur,15,GEN,Andhra Pradesh,Chegireddi Bali Reddy,Indian National Congress,438204,170026,38.8 %
307,Masulipatnam,11,GEN,Andhra Pradesh,Mandali Venkata Krishna Rao,Indian National Congress,438973,258626,58.9 %
308,Mathura,319,GEN,Uttar Pradesh [1947 - 1999],Raja Mahendra Pratap,Independent,423432,234019,55.3 %
309,Mayurbhanj,255,ST,Orissa,Ram Chandra Majhi,Independent,398171,97175,24.4 %
310,Medak,28,GEN,Andhra Pradesh,P. Hanmanth Rao,Indian National Congress,378686,189121,49.9 %
311,Meerut,304,GEN,Uttar Pradesh [1947 - 1999],Shah Nawaz Khan,Indian National Congress,392800,240937,61.3 %
312,Mehsana,100,GEN,Bombay,Patel Purshottamdas Rachhoddas,Independent,379356,254689,67.1 %
313,Midnapur,382,GEN,West Bengal,Narasingha Malla Ugal Sanda Deb,Indian National Congress,857143,733085,42.8 %
314,Midnapur,382,GEN,West Bengal,Subodh Hansda,Indian National Congress,857143,733085,42.8 %
315,Miraj,123,GEN,Bombay,Patil Balwant Alias Balasaheb Pandurag,Peasants & Workers Party,370305,243605,65.8 %
316,Mirzapur,335,GEN,Uttar Pradesh [1947 - 1999],J. N. Wilson,Indian National Congress,785628,702816,44.7 %
317,Mirzapur,335,GEN,Uttar Pradesh [1947 - 1999],Rup Narain,Indian National Congress,785628,702816,44.7 %
318,Monghyr,69,GEN,Bihar [1947 - 1999],Banarsi Pd. Sinha,Indian National Congress,658086,663987,50.5 %
319,Monghyr,69,GEN,Bihar [1947 - 1999],Nayan Tara Das,Indian National Congress,658086,663987,50.5 %
320,Moradabad,310,GEN,Uttar Pradesh [1947 - 1999],Ram Saran,Indian National Congress,412419,207244,50.3 %
321,Mukundapuram,157,GEN,Kerala,Narayanankutty Menon,Communist Party Of India,407952,305569,74.9 %
322,Murshidabad,370,GEN,West Bengal,Muhammad Khuda Bukhsh,Indian National Congress,423003,202822,48.0 %
323,Musafirkhana,358,GEN,Uttar Pradesh [1947 - 1999],Balkrishna Vishwanath Keskar,Indian National Congress,387572,131086,33.8 %
324,Muvattupuzha,155,GEN,Kerala,George Thomas,Indian National Congress,389211,242844,62.4 %
325,Muzaffarnagar,303,GEN,Uttar Pradesh [1947 - 1999],Sumat Prasad,Indian National Congress,388461,192106,49.5 %
326,Muzaffarpur,54,GEN,Bihar [1947 - 1999],Shyam Nandan Sahay,Indian National Congress,375378,181921,48.5 %
327,Mysore,246,GEN,Mysore,M. Shankariah,Indian National Congress,748017,755460,50.5 %
328,Mysore,246,GEN,Mysore,S. M. Siddiah,Indian National Congress,748017,755460,50.5 %
329,Nabadwip,393,GEN,West Bengal,Ila Pal Choudhury,Indian National Congress,409205,219064,53.5 %
330,Nagapattinam,205,GEN,Madras,K. R. Sambandam,Indian National Congress,855083,936161,54.7 %
331,Nagapattinam,205,GEN,Madras,M. Ayyakannu,Indian National Congress,855083,936161,54.7 %
332,Nagaur,296,GEN,Rajasthan,Mathura Dass,Indian National Congress,445844,219883,49.3 %
333,Nagpur,138,GEN,Bombay,Kale Anasuyabai Purushottam,Indian National Congress,373938,224244,60.0 %
334,Nainital,313,GEN,Uttar Pradesh [1947 - 1999],C. D. Pande,Indian National Congress,398104,193702,48.7 %
335,Nalanda,72,GEN,Bihar [1947 - 1999],Kailash Pati Singh,Indian National Congress,350254,161004,46.0 %
336,Nalgonda,35,GEN,Andhra Pradesh,D. Venkateswar Rao,Peoples Democratic Front,795291,859439,54.0 %
337,Nalgonda,35,GEN,Andhra Pradesh,D. Rajiah,Indian National Congress,795291,859439,54.0 %
338,Namakkal,222,GEN,Madras,E. V. K. Sampath,Independent,836631,765012,45.7 %
339,Namakkal,222,GEN,Madras,S. R. Arumugam,Indian National Congress,836631,765012,45.7 %
340,Nanded,143,GEN,Bombay,Kamble Deorao Namdeo,Indian National Congress,763426,605722,39.7 %
341,Nanded,143,GEN,Bombay,Sonule Harihar Rao,All India Scheduled Caste Federation,763426,605722,39.7 %
342,Narsapur,7,GEN,Andhra Pradesh,Uddaraju Ramam,Communist Party Of India,457723,260037,56.8 %
343,Nasik,129,GEN,Bombay,Gaikwad Bhaurao Krishanarao,All India Scheduled Caste Federation,366438,176384,48.1 %
344,Nawada,79,GEN,Bihar [1947 - 1999],Satyabhama Devi,Indian National Congress,718269,535744,37.3 %
345,Nawada,79,GEN,Bihar [1947 - 1999],Ramdhani Das,Indian National Congress,718269,535744,37.3 %
346,Negercoil,214,GEN,Madras,Thanulingom Nadar,Indian National Congress,380167,189086,49.7 %
347,Nellore,16,GEN,Andhra Pradesh,B. Anjanappa,Indian National Congress,879574,621871,35.4 %
348,Nellore,16,GEN,Andhra Pradesh,Rebala Lakshmi Narasa Reddy,Indian National Congress,879574,621871,35.4 %
349,Newdelhi,394,GEN,Delhi,Sucheta Kripalani,Indian National Congress,192753,103914,53.9 %
350,Nilgiris,225,GEN,Madras,C. Nanjappan,Indian National Congress,402143,206869,51.4 %
351,Nimar,173,GEN,Madhya Pradesh [1947 - 1999],Varma Ramsingh,Indian National Congress,395767,154238,39.0 %
352,Nimar (KHANDWA),178,GEN,Madhya Pradesh [1947 - 1999],Babulal Surajmani,Indian National Congress,384697,201869,52.5 %
353,Nizamabad,29,GEN,Andhra Pradesh,Harish Chandra Heda,Indian National Congress,402088,183763,45.7 %
354,Nowgong,42,GEN,Assam,"Kataki, Liladhar",Indian National Congress,392935,192740,49.1 %
355,Ongole,14,GEN,Andhra Pradesh,Ronda Narapa Reddy,Indian National Congress,477593,248545,52.0 %
356,Osmanabad,144,GEN,Bombay,Venkat Rao Shrinivas Rao,Indian National Congress,356233,179857,50.5 %
357,Outer Delhi,397,GEN,Delhi,Naval Prabhakar,Indian National Congress,439791,472404,53.7 %
358,Outer Delhi,397,GEN,Delhi,C. Krishnan Nair,Indian National Congress,439791,472404,53.7 %
359,Outer Manipur,402,ST,Manipur,Rungsung Suisa,Indian National Congress,163252,81247,49.8 %
360,Palamau,90,GEN,Bihar [1947 - 1999],Gajendra Pd. Sinha,Indian National Congress,349569,115601,33.1 %
361,Palghat,159,GEN,Kerala,Kunhan P.,Communist Party Of India,844346,910729,53.9 %
362,Palghat,159,GEN,Kerala,Eacharan V. Iyyani,Indian National Congress,844346,910729,53.9 %
363,Pali,292,GEN,Rajasthan,Harish Chandra Mathur,Indian National Congress,387001,167222,43.2 %
364,Panchmahals,105,GEN,Bombay,Gandhi Maneklal Maganlal,Indian National Congress,378923,173404,45.8 %
365,Parbhani,146,GEN,Bombay,Nagorao S/o Keroji,Indian National Congress,378985,129641,34.2 %
366,Parvathipuram,2,GEN,Andhra Pradesh,B. Satyanarayana,Indian National Congress,827104,494403,29.9 %
367,Parvathipuram,2,GEN,Andhra Pradesh,Dippala Suri Dora,Independent,827104,494403,29.9 %
368,Patan,101,GEN,Bombay,Thakore Motisinh Bahadursinh,Independent,377074,222260,58.9 %
369,Patiala,279,GEN,Punjab,Achint Ram,Indian National Congress,456352,237930,52.1 %
370,Patna,74,GEN,Bihar [1947 - 1999],Sarangdhar Sinha,Indian National Congress,322388,142554,44.2 %
371,Perambalur,208,GEN,Madras,M. Palaniandi,Indian National Congress,442543,230778,52.2 %
372,Periyakulam,218,GEN,Madras,R. Narayanasamy,Indian National Congress,435624,232940,53.5 %
373,Phulpur,334,GEN,Uttar Pradesh [1947 - 1999],Jawahar Lal Nehru,Indian National Congress,798642,616862,38.6 %
374,Phulpur,334,GEN,Uttar Pradesh [1947 - 1999],Masuriya Din,Indian National Congress,798642,616862,38.6 %
375,Pilibhit,314,GEN,Uttar Pradesh [1947 - 1999],Mohan Swaroop,Praja Socialist Party,390591,159895,40.9 %
376,Pollachi,221,GEN,Madras,P. R. Ramakrishnan,Indian National Congress,442467,263602,59.6 %
377,Poona,117,GEN,Bombay,Goray Narayan Ganesh,Praja Socialist Party,357242,243408,68.1 %
378,Pratapgarh,359,GEN,Uttar Pradesh [1947 - 1999],Munishwar Dutt Upadhyay,Indian National Congress,384272,144172,37.5 %
379,Pudukkottai,211,GEN,Madras,F. Ramanathan Chattiar,Indian National Congress,419435,222751,53.1 %
380,Pupri,56,GEN,Bihar [1947 - 1999],Digvijaya Narain Singh,Indian National Congress,390892,207061,53.0 %
381,Puri,262,GEN,Orissa,Chintamani Panigrahi,Communist Party Of India,411216,157551,38.3 %
382,Purnea,63,GEN,Bihar [1947 - 1999],Phani Gopal Sen Gupta,Indian National Congress,394634,172563,43.7 %
383,Purulia,375,GEN,West Bengal,Bibhuti Bhusan Das Gupta,Independent,366520,132588,36.2 %
384,Quilon,151,GEN,Kerala,Kodiyan (S. C. ),Communist Party Of India,801581,1203754,75.1 %
385,Quilon,151,GEN,Kerala,Parameswaran Nair V.,Communist Party Of India,801581,1203754,75.1 %
386,Rae Bareli,360,GEN,Uttar Pradesh [1947 - 1999],Feroze Gandhi,Indian National Congress,804426,675357,42.0 %
387,Rae Bareli,360,GEN,Uttar Pradesh [1947 - 1999],Baij Nath Kureel,Indian National Congress,804426,675357,42.0 %
388,Raichur,234,GEN,Mysore,G. S. Melkote,Indian National Congress,405678,150148,37.0 %
389,Raipur,184,GEN,Madhya Pradesh [1947 - 1999],Raja Birendra Bahadur Singh (S. T. ),Indian National Congress,799936,634680,39.7 %
390,Raipur,184,GEN,Madhya Pradesh [1947 - 1999],Rani Keshar Kumari Devi (S. T. ),Indian National Congress,799936,634680,39.7 %
391,Rajampet,18,GEN,Andhra Pradesh,T.N. Viswanath Reddy,Indian National Congress,417694,RU,
392,Rajamundry,5,GEN,Andhra Pradesh,D. Satyanarayana Raju,Indian National Congress,430056,RU,
393,Rajapur,121,GEN,Bombay,Pai Nath Bapu,Praja Socialist Party,338461,154492,45.7 %
394,Rajmahal,65,ST,Bihar [1947 - 1999],Paika Murmu,Indian National Congress,372878,118640,31.8 %
395,Ramanathapuram,212,GEN,Madras,P. Subbiah Ambalam,Indian National Congress,468851,238502,50.9 %
396,Rampur,311,GEN,Uttar Pradesh [1947 - 1999],Raja Syed Ahmad Mehdi,Indian National Congress,403446,186971,46.3 %
397,Ramtek,137,GEN,Bombay,Deshmukh Krishnarao Gulabrao,Indian National Congress,416239,268573,64.5 %
398,Ranchi East,85,GEN,Bihar [1947 - 1999],M.R.Masani,Jharkhand Party,336924,112864,33.5 %
399,Ranchi West,88,ST,Bihar [1947 - 1999],Jaipal Singh,Jharkhand Party,386903,231027,59.7 %
400,Rasra,340,GEN,Uttar Pradesh [1947 - 1999],Sarju Pande,Communist Party Of India,417479,214340,51.3 %
401,Ratnagiri,120,GEN,Bombay,Assar Premjibhai Ranchhoddas,All India Bhartiya Jan Sangh,344178,155438,45.2 %
402,Rewa,190,GEN,Madhya Pradesh [1947 - 1999],Shiva Datta,Indian National Congress,395851,140385,35.5 %
403,Rohtak,266,GEN,Punjab,Ranbir Singh,Indian National Congress,394077,273698,69.5 %
404,Sabarkantha,99,GEN,Bombay,Nanda Gulzarilal Bulakhiram,Indian National Congress,339021,170385,50.3 %
405,Sagar,175,GEN,Madhya Pradesh [1947 - 1999],Jawala Prasad Jyotishi,Indian National Congress,752447,564508,37.5 %
406,Sagar,175,GEN,Madhya Pradesh [1947 - 1999],Sahodra Bai Murlidhar (SC),Indian National Congress,752447,564508,37.5 %
407,Saharanpur,302,GEN,Uttar Pradesh [1947 - 1999],Ajit Prasad Jain,Indian National Congress,817556,929055,56.8 %
408,Saharanpur,302,GEN,Uttar Pradesh [1947 - 1999],Sunder Lal,Indian National Congress,817556,929055,56.8 %
409,Saharsa,61,GEN,Bihar [1947 - 1999],Lalit Narain Mishra,Indian National Congress,714574,610961,42.8 %
410,Saharsa,61,GEN,Bihar [1947 - 1999],Bholi Sardar,Indian National Congress,714574,610961,42.8 %
411,Salem,201,GEN,Madras,S. V. Ramasami,Indian National Congress,401741,180883,45.0 %
412,Salempur,344,GEN,Uttar Pradesh [1947 - 1999],Bishwanath Roy,Indian National Congress,428505,163090,38.1 %
413,Samastipur,59,GEN,Bihar [1947 - 1999],Satya Narayan Sinha,Indian National Congress,346226,166815,48.2 %
414,Sambalpur,252,GEN,Orissa,Banamali Kumbhar,Ganatantra Parishad,796199,462051,29.0 %
415,Sambalpur,252,GEN,Orissa,Sradhakar Supakar,Ganatantra Parishad,796199,462051,29.0 %
416,Sardhana,305,GEN,Uttar Pradesh [1947 - 1999],Vishnu Sharan Dublish,Indian National Congress,418676,237476,56.7 %
417,Sasaram,77,GEN,Bihar [1947 - 1999],Ramsubhag Singh,Indian National Congress,741808,352370,47.5 %
418,Sasaram,77,GEN,Bihar [1947 - 1999],Jagjiwan Ram,Indian National Congress,741808,RU,
419,Satara,125,GEN,Bombay,Patil Nana Ramchandra,Communist Party Of India,366598,221939,60.5 %
420,Sawai Madhopur,286,GEN,Rajasthan,Hiralal Shastri,Indian National Congress,850263,647599,38.1 %
421,Sawai Madhopur,286,GEN,Rajasthan,Jagan Nath,Indian National Congress,850263,647599,38.1 %
422,Secunderabad,26,GEN,Andhra Pradesh,Ahmed Mohiuddin,Indian National Congress,341797,147258,43.1 %
423,Serampore,378,GEN,West Bengal,Jitendra Nath Lahiri,Indian National Congress,428149,246062,57.5 %
424,Shahabad,75,GEN,Bihar [1947 - 1999],Baliram Bhagat,Indian National Congress,376683,175177,46.5 %
425,Shahdol,189,GEN,Madhya Pradesh [1947 - 1999],Anand Chandra Joshi,Indian National Congress,784252,384145,24.5 %
426,Shahdol,189,GEN,Madhya Pradesh [1947 - 1999],Kamal Narain Singh,Indian National Congress,784252,384145,24.5 %
427,Shahjahanpur,315,GEN,Uttar Pradesh [1947 - 1999],Narain Din,Indian National Congress,814333,723418,44.4 %
428,Shahjahanpur,315,GEN,Uttar Pradesh [1947 - 1999],Seth Bishan Chandra,Independent,814333,723418,44.4 %
429,Shajapur,168,GEN,Madhya Pradesh [1947 - 1999],Liladhar,Indian National Congress,778985,596213,38.3 %
430,Shajapur,168,GEN,Madhya Pradesh [1947 - 1999],Kanhaiyalal,Indian National Congress,778985,596213,38.3 %
431,Shimoga,238,GEN,Mysore,K. G. Wodeyar,Indian National Congress,391924,211204,53.9 %
432,Shiv Puri,166,GEN,Madhya Pradesh [1947 - 1999],Brijnarain,Akhil Bharatiya Hindu Mahasabha,399872,173613,43.4 %
433,Sholapur,126,GEN,Bombay,Sonavane Tayappa Hari,Indian National Congress,753307,745171,49.5 %
434,Sholapur,126,GEN,Bombay,More Jayawant Ghanshyam,Independent,753307,745171,49.5 %
435,Sibsagar,44,GEN,Assam,"Borua, Profulla Chandra",Indian National Congress,375283,164601,43.9 %
436,Sikar,281,GEN,Rajasthan,Rameshwar Tantia,Indian National Congress,401674,198511,49.4 %
437,Singhbhum,87,ST,Bihar [1947 - 1999],Shambhu Charan,Jharkhand Party,397630,139346,35.0 %
438,Sitamarhi,55,GEN,Bihar [1947 - 1999],Acharya J. B. Kripalani,Praja Socialist Party,417735,211523,50.6 %
439,Sitapur,364,GEN,Uttar Pradesh [1947 - 1999],Pragi Lal,Indian National Congress,926313,791021,42.7 %
440,Sitapur,364,GEN,Uttar Pradesh [1947 - 1999],Uma Nehru,Indian National Congress,926313,791021,42.7 %
441,Siwan,49,GEN,Bihar [1947 - 1999],Jhulan Singh,Indian National Congress,378240,138756,36.7 %
442,Sorath,95,GEN,Bombay,Nathwani Narendra Pragji,Indian National Congress,330799,154686,46.8 %
443,Srikakulam,1,GEN,Andhra Pradesh,Boddepalli Rajagopala Rao,Indian National Congress,416861,153238,36.8 %
444,Srivilliputhur,213,GEN,Madras,U. Muthuramalinga Thevar,Independent,876837,856319,48.8 %
445,Srivilliputhur,213,GEN,Madras,R. S. Arumugam,Indian National Congress,876837,856319,48.8 %
446,Sultanpur,357,GEN,Uttar Pradesh [1947 - 1999],Govind Malviya,Indian National Congress,378911,146128,38.6 %
447,Sundargarh,253,ST,Orissa,Chandramani Kalo,Ganatantra Parishad,411340,186563,45.4 %
448,Surat,110,GEN,Bombay,Desai Morarji Ranchhodji,Indian National Congress,374614,229639,61.3 %
449,Surguja,186,GEN,Madhya Pradesh [1947 - 1999],Singh Maharajkumar Chandikeshwar Sharan,Indian National Congress,780916,462295,29.6 %
450,Surguja,186,GEN,Madhya Pradesh [1947 - 1999],Singh Babunath,Indian National Congress,780916,462295,29.6 %
451,Tamulk,384,GEN,West Bengal,Satish Chandra Samanta,Indian National Congress,447374,312236,69.8 %
452,Tanjore,207,GEN,Madras,R. Venkataraman,Indian National Congress,425088,233532,54.9 %
453,Tarn Taran,272,GEN,Punjab,Surjit Singh Majithia,Indian National Congress,407970,263853,64.7 %
454,Tehri Garhwal,300,GEN,Uttar Pradesh [1947 - 1999],H. H. Maharaja Manvendra Shah,Indian National Congress,395937,140313,35.4 %
455,Tellicherry,163,GEN,Kerala,M. K. Jinachandran,Indian National Congress,468639,296394,63.3 %
456,Tenali,12,GEN,Andhra Pradesh,N.G. Ranga,Indian National Congress,460055,271205,59.0 %
457,Tenkasi,217,GEN,Madras,M. Sankarapandian,Indian National Congress,441227,246842,55.9 %
458,Thana,115,GEN,Bombay,Matera Laxman Mahadya,Communist Party Of India,703805,819055,58.2 %
459,Thana,115,GEN,Bombay,Parulekar Shamrao Vishnu,Communist Party Of India,703805,819055,58.2 %
460,Thiruvalla,153,GEN,Kerala,Vasudevan Nair P. K.,Communist Party Of India,407397,300891,73.9 %
461,Thiruvannamalai,197,GEN,Madras,Dharmalingam,Independent,426665,201960,47.3 %
462,Tindivanam,203,GEN,Madras,Shanmugham,Independent,418327,202831,48.5 %
463,Tiptur,241,GEN,Mysore,C. R. Basappa,Indian National Congress,401372,214912,53.5 %
464,Tiruchendur,215,GEN,Madras,T. Ganapathy,Indian National Congress,448411,RU,
465,Tiruchengode,200,GEN,Madras,Dr. P. Subbarayan,Indian National Congress,409325,150612,36.8 %
466,Tiruchirappalli,210,GEN,Madras,M. K. M. Abdul Salam,Indian National Congress,417789,215752,51.6 %
467,Tirunelveli,216,GEN,Madras,P. T. Thanu Pillai,Indian National Congress,445857,208476,46.8 %
468,Tiruppattur,198,GEN,Madras,A. Duraisami Gounder,Indian National Congress,418543,160629,38.4 %
469,Tiruvallur,195,GEN,Madras,R. Govindarajulu Naidu,Indian National Congress,405032,185446,45.8 %
470,Trichur,158,GEN,Kerala,Krishnan,Communist Party Of India,399347,280441,70.2 %
471,Tripura,403,GEN,Tripura,Deb Barma Bangshi,Indian National Congress,432902,550338,63.6 %
472,Tripura,403,GEN,Tripura,Deb Dasaratha,Communist Party Of India,432902,550338,63.6 %
473,Trivandrum,149,GEN,Kerala,Easwara Iyer,Independent,409120,288976,70.6 %
474,Tumkur,242,GEN,Mysore,M. V. Krishnappa,Indian National Congress,382008,194201,50.8 %
475,Udaipur,289,GEN,Rajasthan,Manikya Lal Verma,Indian National Congress,732882,467004,31.9 %
476,Udaipur,289,GEN,Rajasthan,Deen Bandhu,Indian National Congress,732882,467004,31.9 %
477,Udipi,248,GEN,Mysore,Srinivasa Malliah U,Indian National Congress,412748,216205,52.4 %
478,Ujjain,169,GEN,Madhya Pradesh [1947 - 1999],Vyas Radhelal Beharilal,Indian National Congress,386502,170293,44.1 %
479,Uluberia,380,GEN,West Bengal,Aurobinda Ghosal,Forward Bloc (MARXIST),456093,232984,51.1 %
480,Unnao,361,GEN,Uttar Pradesh [1947 - 1999],Vishambhar Dayal,Indian National Congress,819996,648107,39.5 %
481,Unnao,361,GEN,Uttar Pradesh [1947 - 1999],Ganga Devi,Indian National Congress,819996,648107,39.5 %
482,Varanasi,336,GEN,Uttar Pradesh [1947 - 1999],Raghunath Singh,Indian National Congress,384576,240997,62.7 %
483,Vellore,196,GEN,Madras,N. R. Munisamy,Indian National Congress,801572,750365,46.8 %
484,Vellore,196,GEN,Madras,M. Muthukrishnan,Indian National Congress,801572,750365,46.8 %
485,Vicarabad,27,GEN,Andhra Pradesh,Sangam Lakshmi Bai,Indian National Congress,393492,RU,
486,Vijayawada,10,GEN,Andhra Pradesh,Komarraju Achamamba,Indian National Congress,406776,239762,58.9 %
487,Visakhapatnam,3,GEN,Andhra Pradesh,Pusapati Vijayarama Gajapathi Raju,Independent,371425,136779,36.8 %
488,Warangal,32,GEN,Andhra Pradesh,Sadat Ali Khan,Indian National Congress,343246,199543,58.1 %
489,Wardha,141,GEN,Bombay,Bajaj Kamalnayan Jamnalal,Indian National Congress,443289,281686,63.5 %
490,West Dinajpur,368,GEN,West Bengal,Selku Mardi,Indian National Congress,736998,608460,41.3 %
491,West Dinajpur,368,GEN,West Bengal,Chaplalkanta Bhattacharjee,Indian National Congress,736998,608460,41.3 %
492,West Khandesh,131,ST,Bombay,Valvi Laxman Vedu,Praja Socialist Party,356275,159181,44.7 %
